ds,yhat,yhat_lower,yhat_upper,StoreType
2013-01-02,1020884.8657543438,779550.5578941948,1285949.4791762992,c
2013-01-03,998171.938972831,769623.1460430627,1244526.4249521766,c
2013-01-04,1039786.7156263455,794033.6604693185,1278726.792731426,c
2013-01-05,964726.4549523301,742802.985401659,1206310.6960142571,c
2013-01-07,1129579.2892148122,884477.746284833,1376575.2279169667,c
2013-01-08,954057.2547749436,701328.6974384434,1190171.400363456,c
2013-01-09,898997.2479667906,651934.9695588523,1151330.2414338058,c
2013-01-10,887408.4908206235,633969.8000363996,1151850.6585224718,c
2013-01-11,940919.6706491836,687894.504088902,1198322.127057267,c
2013-01-12,878298.2078422995,634798.358563817,1119330.9621940905,c
2013-01-14,1068738.6380424462,818413.654981723,1326219.705859358,c
2013-01-15,905921.8268248914,662340.5360094722,1146051.5370985698,c
2013-01-16,863230.8608021273,612762.0479251341,1100891.8804169055,c
2013-01-17,863486.7599639149,632686.8283173889,1105737.2599614402,c
2013-01-18,928149.5960143146,682907.8404251196,1174642.4945929712,c
2013-01-19,875840.3215323184,634587.5077837285,1113539.640122094,c
2013-01-21,1083922.6332722788,819583.4343939068,1350000.7229443397,c
2013-01-22,928267.6452973967,677828.9342740708,1179924.9506198582,c
2013-01-23,891563.9996216419,654545.6147771691,1132852.3860947413,c
2013-01-24,896613.4690711333,662321.5530068027,1129066.7685076476,c
2013-01-25,964881.2992634681,717180.6639821023,1217868.6656571398,c
2013-01-26,915016.4114212976,671355.9887440245,1149900.0029687162,c
2013-01-28,1124718.7838285281,866931.5768490712,1370906.1543366655,c
2013-01-29,968389.0912301431,734450.5451781072,1197258.1848089877,c
2013-01-30,930143.7756286866,680934.3890070262,1135257.8219338476,c
2013-01-31,932889.6332252064,688671.056082059,1169804.780819917,c
2013-02-01,998203.6097782286,745559.3629814239,1241069.9411879033,c
2013-02-02,944850.0369679055,690949.7877098923,1183146.1617742346,c
2013-02-04,1146433.9542724923,912178.7089481411,1401547.5467727752,c
2013-02-05,985699.455879326,728637.3089572713,1208918.5132405884,c
