DayOfWeek,Month,Sales
1,1,7628.476625470177
1,2,7463.911636308897
1,3,8424.254907008173
1,4,8326.708147619896
1,5,7975.304937940888
1,6,8634.159415293387
1,7,8141.349184386833
1,8,7933.031650983747
1,9,7737.469080234834
1,10,7483.082682926829
1,11,8249.359512195122
1,12,10538.067219512195
2,1,6755.1450586521505
2,2,6576.011315947242
2,3,7145.373330565359
2,4,7378.873451043339
2,5,6953.310399041701
2,6,7270.996544574983
2,7,7155.7117430441895
2,8,6782.318220701454
2,9,6936.890707381371
2,10,6436.703671891776
2,11,7241.468170731708
2,12,8328.568780487805
3,1,6381.879253112033
3,2,6366.550161084888
3,3,6623.205112827049
3,4,7055.843057962642
3,5,6946.540560747663
3,6,6634.85971088308
3,7,7025.160593193485
3,8,6417.6359080909315
3,9,6215.41370030581
3,10,6506.295277127244
3,11,6836.988819875776
3,12,7721.818215752146
4,1,6303.223078404932
4,2,6396.365332733813
4,3,6749.0489578647475
4,4,7045.045837942478
4,5,7038.003124408256
4,6,6405.453817271589
4,7,6929.000409276944
4,8,6582.727551467367
4,9,6200.344017616834
4,10,6773.627635960044
4,11,6929.673618733992
4,12,8798.771382376717
5,1,6813.180299428131
5,2,6867.264679448772
5,3,6801.327344861143
5,4,6508.865208818785
5,5,7812.304428635519
5,6,7102.350434391851
5,7,6874.208836803028
5,8,6941.389790729513
5,9,6487.71622447732
5,10,6894.697746409113
5,11,7489.544321171223
5,12,8645.476386600769
6,1,5588.375441268084
6,2,5804.5692883895135
6,3,5995.826042268902
6,4,6031.289800808747
6,5,6084.574608673339
6,6,5808.930378871682
6,7,5417.155759784503
6,8,5429.941596556447
6,9,5342.93412368614
6,10,5539.21966093426
6,11,6426.609211727706
6,12,7193.493902439024
7,1,9163.738738738739
7,2,10687.143518518518
7,3,8135.9031413612565
7,4,6799.060846560847
7,5,7398.327710843373
7,6,7798.011210762332
7,7,8106.207349081365
7,8,8004.9964664310955
7,9,7206.296167247387
7,10,7219.065573770492
7,11,11787.91447368421
7,12,10733.582887700535
